sample_index,mean_speed_mps,speed_std_mps,mean_abs_speed_delta_mps,motion_regime
0,0.3467257,0.2406660529108125,0.10226011428571428,Hovering-like
1,2.357175525,1.4277013259039264,1.1983607142857142,Maneuvering
2,9.330835975000001,1.88797727717491,1.0865137142857144,Maneuvering
3,7.7873473749999995,1.5431415718804171,0.664690742857143,Maneuvering
4,0.701839925,0.4578816604977855,0.19493334285714287,Hovering-like
5,4.510230275,1.7146527221418773,1.3677290285714285,Maneuvering
6,4.845771275,3.463862721414555,1.3229902285714288,Maneuvering
7,0.0,0.0,0.0,Hovering-like
8,0.0,0.0,0.0,Hovering-like
9,4.8653445,1.6655441678159575,0.7349945714285714,Maneuvering
10,2.4662263500000003,1.3625953286817247,0.5049093142857143,Maneuvering
11,4.996764725,1.385591473034025,0.5496481142857144,Maneuvering
12,11.2182541,2.442314407859762,0.8915803714285714,Maneuvering
13,2.14187005,0.7106246477591441,0.3259541142857144,Constant-speed-like
14,3.402944975,1.8960437739057463,0.731798942857143,Maneuvering
15,0.0,0.0,0.0,Hovering-like
16,11.2406235,1.166377068416878,0.7349945714285716,Maneuvering
17,5.628700275,2.0235016469193097,0.856428457142857,Maneuvering
18,0.0,0.0,0.0,Hovering-like
19,0.0,0.0,0.0,Hovering-like
20,9.32244745,1.1859342631593652,0.5368655999999997,Maneuvering
21,0.02796175,0.07397983672216032,0.06391257142857143,Hovering-like
22,7.35394025,2.880874554785133,1.2143388571428575,Maneuvering
23,11.22384645,0.8618571600258927,0.3706929142857141,Constant-speed-like
24,4.5298035,1.9136953062033544,0.8308634285714286,Maneuvering
25,12.250042675,0.9607089259299039,0.7349945714285716,Constant-speed-like
26,0.0,0.0,0.0,Hovering-like
27,9.792204850000001,1.6001451946669076,0.683864514285714,Maneuvering
28,1.8482716750000001,1.2844856148429142,0.8276678000000002,Maneuvering
29,11.900520799999999,1.4546991263991462,0.6455169714285712,Maneuvering
30,5.5392226749999995,0.6684612941187016,0.2748240571428573,Constant-speed-like
31,0.0,0.0,0.0,Hovering-like
32,3.99853025,1.5107110156080272,0.8628197142857142,Maneuvering
33,0.5871967499999999,0.4994128239412135,0.2556502857142857,Hovering-like
34,0.9171454,0.5738089029327447,0.22688962857142855,Hovering-like
35,0.0,0.0,0.0,Hovering-like
36,0.0,0.0,0.0,Hovering-like
37,1.17998585,0.8655505401225785,0.4154317142857143,Constant-speed-like
38,4.2781477500000005,0.009686234333707276,0.006391257142856789,Constant-speed-like
39,0.0,0.0,0.0,Hovering-like
40,0.0,0.0,0.0,Hovering-like
41,0.0559235,0.0968623433370781,0.06391257142857143,Hovering-like
42,0.34672569999999997,0.11783812652953202,0.07669508571428571,Hovering-like
43,0.75496725,0.432278164694838,0.2876065714285714,Hovering-like
44,11.0169295,1.9019581527837386,0.7509727142857143,Maneuvering
45,3.99853025,1.353475792895993,0.5113005714285713,Maneuvering
46,8.2543086,5.118977054197852,2.1666361714285713,Maneuvering
47,4.4403258999999995,0.3949640490857743,0.1981289714285714,Constant-speed-like
48,0.92273775,1.0695140926890292,0.5113005714285714,Hovering-like
49,10.197650225,0.3585106374054259,0.1310207714285718,Constant-speed-like
50,0.30757925,0.2475207214064663,0.24286777142857144,Hovering-like
51,1.7587940749999997,0.6849144904605752,0.32595411428571425,Constant-speed-like
52,12.294781475,0.9402426886072552,0.6678863714285715,Constant-speed-like
53,0.1677705,0.0968623433370781,0.031956285714285715,Hovering-like
54,0.08388525,0.15568443517236236,0.06391257142857143,Hovering-like
